Year,Player,GP,PPG,PTS,FGA,eFG%,reFG%
2007,Kirk Hinrich,80,9.8,780,773,50.5,5
2007,Kyle Korver,74,9.8,726,707,51.3,5.9
1998,Latrell Sprewell,14,9.8,137,173,39.6,-3.3
2022,Lonzo Ball,35,9.8,344,293,58.7,8.5
2009,Metta World Peace,69,9.8,677,683,49.6,3.1
1998,Michael Finley,82,9.8,802,932,43,0.2
2009,Michael Redd,33,9.8,322,347,46.4,0
2010,Monta Ellis,64,9.8,629,742,42.4,-3.3
2014,Nick Young,64,9.8,629,620,50.7,4
2006,Richard Hamilton,80,9.8,781,824,47.4,2.3
2008,Richard Hamilton,72,9.8,708,712,49.7,3.7
1998,Wesley Person,82,9.8,805,727,55.4,12.5
2009,Al Harrington,73,9.7,705,722,48.8,2.4
2005,Bobby Simmons,75,9.7,726,776,46.8,2.4
2020,Bogdan Bogdanovic,61,9.7,592,541,54.7,4.2
2003,Chris Webber,67,9.7,647,780,41.5,-1.9
2014,DeMar DeRozan,79,9.7,764,933,40.9,-5.8
2017,DeMar DeRozan,74,9.7,715,869,41.1,-7.2
2000,Eddie Jones,72,9.7,696,775,44.9,1.2
2004,Glenn Robinson,42,9.7,408,427,47.8,4.7
2004,Jim Jackson,80,9.7,776,710,54.6,11.5
2009,Joe Johnson,79,9.7,765,827,46.3,-0.2
2009,LeBron James,81,9.7,782,901,43.4,-3
2022,Malik Beasley,79,9.7,768,703,54.6,4.4
2008,Raja Bell,75,9.7,724,672,53.9,7.8
2016,Ryan Anderson,66,9.7,639,627,51,3.8
2020,Terrence Ross,69,9.7,668,674,49.6,-0.9
2021,Terrence Ross,46,9.7,445,456,48.8,-3
1997,Tim Hardaway,81,9.7,783,886,44.2,1.3
2003,Wally Szczerbiak,52,9.7,505,503,50.2,6.9
2014,Avery Bradley,60,9.6,573,596,48.1,1.3
2015,Avery Bradley,77,9.6,736,779,47.2,1
2022,Bogdan Bogdanovic,63,9.6,602,557,54,3.8
2020,Bojan Bogdanovic,63,9.6,605,525,57.6,7.1
2015,Damian Lillard,82,9.6,790,827,47.8,1.5
2021,Jordan Clarkson,68,9.6,656,646,50.8,-1
2016,JR Smith,77,9.6,739,680,54.3,7.2
2017,Kevin Durant,62,9.6,597,570,52.4,4.1
2013,Kyle Korver,74,9.6,711,567,62.7,16.5
2004,Latrell Sprewell,82,9.6,789,900,43.8,0.7
2007,Leandro Barbosa,80,9.6,766,672,57,11.5
2001,Michael Finley,82,9.6,786,907,43.3,-0.2
2004,Michael Redd,82,9.6,789,879,44.9,1.8
2008,Michael Redd,72,9.6,688,738,46.6,0.6
2006,Morris Peterson,82,9.6,789,760,51.9,6.8
2022,Patty Mills,81,9.6,777,700,55.5,5.3
2003,Paul Pierce,79,9.6,760,955,39.8,-3.5
2005,Quentin Richardson,79,9.6,761,758,50.2,5.8
2005,Reggie Miller,66,9.6,634,649,48.8,4.5
2006,Ricky Davis,78,9.6,751,846,44.4,-0.7
2020,Stephen Curry,5,9.6,48,59,40.7,-9.8
2006,Steve Nash,79,9.6,762,683,55.8,10.7
2022,Tim Hardaway Jr.,42,9.6,402,416,48.3,-1.9
2005,Allan Houston,20,9.5,189,189,50,5.6
1999,Allan Houston,50,9.5,475,510,46.6,4.5
2013,Brandon Jennings,80,9.5,761,773,49.2,3.1
2016,Chris Bosh,53,9.5,501,508,49.3,2.2
2011,Danny Granger,79,9.5,751,790,47.5,1.6
2000,Darrell Armstrong,82,9.5,777,802,48.4,4.8
2002,David Wesley,67,9.5,639,729,43.8,0
1999,Dee Brown,49,9.5,465,452,51.4,9.4
2013,Deron Williams,78,9.5,739,733,50.4,4.2
2019,Donovan Mitchell,77,9.5,729,724,50.3,0.8
2008,Gilbert Arenas,13,9.5,124,147,42.2,-3.9
2017,Gordon Hayward,73,9.5,695,696,49.9,1.6
2013,Jamal Crawford,76,9.5,723,722,50.1,3.9
2008,Jason Terry,82,9.5,780,737,52.9,6.9
2014,Jose Calderon,81,9.5,769,653,58.9,12.1
2015,JR Smith,70,9.5,667,622,53.6,7.3
1998,Karl Malone,81,9.5,772,803,48.1,5.2
2000,Kevin Garnett,81,9.5,770,862,44.7,1
2012,Kevin Martin,40,9.5,380,382,49.7,5.1
2005,Kyle Korver,82,9.5,778,681,57.1,12.7
2020,Kyle Lowry,58,9.5,550,538,51.1,0.6
2005,LeBron James,80,9.5,761,911,41.8,-2.6
2008,LeBron James,75,9.5,709,865,41,-5.1
2020,Luke Kennard,28,9.5,266,239,55.6,5.2
2022,Marcus Morris Sr.,54,9.5,515,504,51.1,0.9
2002,Pat Garrity,80,9.5,758,698,54.3,10.5
2002,Steve Nash,82,9.5,780,693,56.3,12.5
2001,Terrell Brandon,78,9.5,739,817,45.2,1.7
2020,Terry Rozier,63,9.5,600,531,56.5,6
2008,Caron Butler,58,9.4,544,593,45.9,-0.2
2010,Chauncey Billups,73,9.4,687,688,49.9,4.3
2004,David Wesley,61,9.4,574,656,43.8,0.6
2020,Dennis Schroder,65,9.4,609,564,54,3.5
2018,Dirk Nowitzki,77,9.4,722,667,54.1,4.7
1999,Joe Dumars,38,9.4,357,336,53.1,11.1
2016,John Wall,77,9.4,720,845,42.6,-4.5
2022,Jordan Poole,76,9.4,716,681,52.6,2.4
2017,Kevin Love,60,9.4,565,549,51.5,3.2
2016,Kyrie Irving,53,9.4,500,514,48.6,1.5
2020,LaMarcus Aldridge,53,9.4,499,508,49.1,-1.4
2021,LeBron James,45,9.4,422,436,48.4,-3.4
2000,Mitch Richmond,74,9.4,698,755,46.2,2.6
1999,Mitch Richmond,50,9.4,471,547,43.1,1
2012,Nick Young,62,9.4,585,609,48,3.4
2003,Ricky Davis,79,9.4,740,975,37.9,-5.4
2017,Ryan Anderson,72,9.4,676,601,56.2,7.9
2005,Stephen Jackson,51,9.4,479,531,45.1,0.7
2006,Wally Szczerbiak,72,9.4,679,671,50.6,5.5
2007,Allen Iverson,65,9.3,607,720,42.2,-3.3
2016,Avery Bradley,76,9.3,705,749,47.1,0
2012,Carmelo Anthony,55,9.3,512,599,42.7,-1.9
2011,Channing Frye,77,9.3,717,688,52.1,6.2
2005,Chauncey Billups,80,9.3,741,667,55.5,11.2
2009,Chauncey Billups,79,9.3,736,708,52,5.5
2001,Eddie Jones,63,9.3,588,615,47.8,4.3
2001,Gary Payton,79,9.3,734,819,44.8,1.3
2000,Jalen Rose,80,9.3,746,795,46.9,3.3
2005,Jalen Rose,81,9.3,757,799,47.4,3
2015,Jamal Crawford,64,9.3,595,636,46.8,0.5
2003,Jason Kidd,80,9.3,744,858,43.4,0
2005,Jason Richardson,72,9.3,671,779,43.1,-1.3
2002,Jerry Stackhouse,76,9.3,706,904,39,-4.8
2008,Kevin Martin,61,9.3,565,562,50.3,4.2
2007,Mehmet Okur,80,9.3,741,681,54.4,8.9
2009,Raja Bell,67,9.3,624,605,51.6,5.1
2002,Rasheed Wallace,79,9.3,736,801,45.9,2.1
2009,Roger Mason Jr.,82,9.3,760,709,53.6,7.2
2018,Wayne Ellington,77,9.3,717,624,57.5,8
2018,Allen Crabbe,75,9.2,689,654,52.7,3.2
2017,Andrew Wiggins,82,9.2,755,876,43.1,-5.2
2011,Anthony Morrow,58,9.2,532,478,55.6,9.7
2017,Avery Bradley,55,9.2,506,494,51.2,2.9
2008,Baron Davis,82,9.2,755,843,44.8,-1.3
2012,Chauncey Billups,20,9.2,184,183,50.3,5.6
2020,Chris Paul,70,9.2,647,586,55.2,4.7
2019,Danilo Gallinari,68,9.2,626,558,56.1,6.5
2012,Danny Granger,62,9.2,569,584,48.7,4.1
2011,Derrick Rose,81,9.2,744,823,45.2,-0.7
2020,Jamal Murray,59,9.2,545,549,49.6,-0.9
2005,Jason Kidd,66,9.2,607,640,47.4,3
2021,Jerami Grant,54,9.2,495,524,47.2,-4.6
2009,JR Smith,81,9.2,748,690,54.2,7.8
2003,Kevin Garnett,82,9.2,752,800,47,3.7
2002,Kobe Bryant,80,9.2,738,915,40.3,-3.5
2021,Kristaps Porzingis,43,9.2,397,389,51,-0.8
2022,Luke Kennard,70,9.2,644,515,62.5,12.3
2017,Marcus Morris Sr.,79,9.2,728,762,47.8,-0.5
2002,Nick Van Exel,72,9.2,659,739,44.6,0.8
2012,Ray Allen,46,9.2,422,369,57.2,12.5
1997,Scottie Pippen,82,9.2,755,842,44.8,1.9
2009,Stephen Jackson,59,9.2,541,602,44.9,-1.5
1998,Tom Gugliotta,41,9.2,376,395,47.6,4.7
2006,Vince Carter,79,9.2,730,812,45,-0.1
2014,Wesley Matthews,82,9.2,753,695,54.2,7.4
2007,Antawn Jamison,70,9.1,636,666,47.7,2.3
2021,Armoni Brooks,20,9.1,182,162,56.2,4.4
2018,Buddy Hield,80,9.1,729,650,56.1,6.6
2022,Carmelo Anthony,69,9.1,625,578,54.1,3.9
2011,Caron Butler,29,9.1,264,267,49.4,3.5
2010,Chris Paul,45,9.1,410,394,52,6.4
2004,Cuttino Mobley,80,9.1,724,724,50,6.9
2010,Danilo Gallinari,81,9.1,734,714,51.4,5.8
2019,Jamal Murray,75,9.1,682,679,50.2,0.6
2003,Jerry Stackhouse,70,9.1,635,793,40,-3.3
1997,Joe Dumars,79,9.1,720,667,54,11
2022,Joe Harris,14,9.1,127,94,67.6,17.3
1999,Kevin Garnett,47,9.1,426,505,42.2,0.1
2012,Kevin Love,55,9.1,499,528,47.3,2.6
2006,Kyle Korver,82,9.1,749,666,56.2,11.1
2020,Luka Doncic,61,9.1,553,590,46.9,-3.6
2019,Mike Conley,70,9.1,639,621,51.4,1.9
2008,Mike Dunleavy,82,9.1,743,694,53.5,7.5
2012,Mo Williams,52,9.1,473,460,51.4,6.7
2013,Paul George,79,9.1,720,754,47.7,1.6
2005,Sam Cassell,59,9.1,539,573,47,2.7
2021,Seth Curry,57,9.1,521,424,61.4,9.7
2010,Steve Nash,81,9.1,740,671,55.1,9.5
1998,Terrell Brandon,50,9.1,453,509,44.5,1.6
2018,Tim Hardaway Jr.,57,9.1,518,548,47.3,-2.2
2018,Tobias Harris,80,9.1,731,663,55.1,5.7
2008,Vince Carter,76,9.1,692,739,46.8,0.8
2008,Allen Iverson,82,9.0,735,801,45.9,-0.2
2012,Andrea Bargnani,31,9.0,278,320,43.4,-1.2
2001,Antawn Jamison,82,9.0,734,954,38.5,-5
1997,Anthony Peeler,72,9.0,647,757,42.7,-0.2
2002,Baron Davis,82,9.0,742,805,46.1,2.3
2008,Carmelo Anthony,77,9.0,696,768,45.3,-0.7
2003,Chauncey Billups,74,9.0,669,647,51.7,8.4
2017,D'Angelo Russell,63,9.0,567,587,48.3,0
2016,Dahntay Jones,1,9.0,9,7,64.3,17.2
2004,Damon Stoudamire,82,9.0,740,761,48.6,5.5
2021,Davis Bertans,57,9.0,513,439,58.4,6.6
2002,Derek Fisher,70,9.0,633,581,54.5,10.7
2022,Devin Cannady,5,9.0,45,39,57.7,7.5
2011,Dorell Wright,82,9.0,742,756,49.1,3.1
2022,Duncan Robinson,79,9.0,711,639,55.6,5.4
2007,Jason Richardson,51,9.0,459,489,46.9,1.5
2011,Jason Richardson,80,9.0,723,699,51.7,5.8
2006,Joe Johnson,82,9.0,740,801,46.2,1.1
2022,Joel Embiid,68,9.0,609,641,47.5,-2.7
2007,Kevin Garnett,76,9.0,682,773,44.1,-1.3
2010,Kevin Martin,46,9.0,412,467,44.1,-1.5
2017,Kyle Korver,67,9.0,600,481,62.4,14.1
2007,LeBron James,78,9.0,699,885,39.5,-6
2008,Manu Ginobili,74,9.0,669,625,53.5,7.5
2021,Mike Conley,51,9.0,459,387,59.3,7.5
2016,Nicolas Batum,70,9.0,633,666,47.5,0.4
2018,Nikola Mirotic,55,9.0,497,481,51.7,2.2
2006,Rashard Lewis,78,9.0,704,709,49.6,4.6
2009,Rasheed Wallace,66,9.0,593,607,48.8,2.4
2008,Rudy Gay,81,9.0,730,768,47.5,1.5
2022,Saddiq Bey,82,9.0,735,735,50,-0.2
2000,Sam Cassell,81,9.0,728,801,45.4,1.8
2002,Shawn Marion,81,9.0,728,825,44.1,0.3
2011,Stephen Jackson,67,9.0,603,658,45.8,-0.1
1999,Stephon Marbury,49,9.0,442,503,43.9,1.9
2002,Wally Szczerbiak,82,9.0,737,711,51.8,8
2017,Wayne Ellington,62,9.0,559,515,54.3,6
2010,Andrea Bargnani,80,8.9,710,718,49.4,3.8
2012,Anthony Morrow,62,8.9,552,554,49.8,5.2
2008,Chauncey Billups,78,8.9,694,668,51.9,5.9
2000,Chris Webber,75,8.9,667,802,41.6,-2.1
2001,Chris Webber,70,8.9,626,778,40.2,-3.3
2002,Chris Webber,54,8.9,483,551,43.8,0
2005,Chris Webber,67,8.9,593,769,38.6,-5.8
2018,Donovan Mitchell,79,8.9,703,725,48.5,-1
2016,Eric Gordon,45,8.9,399,370,53.9,6.8
2018,Gerald Green,41,8.9,366,335,54.6,5.2
2000,Grant Hill,74,8.9,658,766,43,-0.7
2008,Hedo Turkoglu,82,8.9,726,702,51.7,5.6
2007,Jason Kapono,67,8.9,599,491,61,15.5
2013,JJ Redick,78,8.9,697,681,51.2,5
2021,Joel Embiid,51,8.9,454,438,51.8,0
2019,Josh Richardson,73,8.9,650,658,49.4,-0.2
2014,Kevin Martin,68,8.9,602,658,45.7,-1
2002,Lamond Murray,71,8.9,629,655,48,4.2
2011,LeBron James,79,8.9,707,761,46.5,0.5
2015,LeBron James,69,8.9,614,682,45,-1.3
2001,Michael Dickerson,70,8.9,622,682,45.6,2.1
2003,Michael Redd,82,8.9,726,666,54.5,11.2
2008,Mike Miller,70,8.9,623,538,57.9,11.8
2012,Monta Ellis,58,8.9,518,616,42,-2.6
2000,Nick Van Exel,79,8.9,705,806,43.7,0.1
2001,Nick Van Exel,71,8.9,635,685,46.4,2.9
2009,Paul Pierce,81,8.9,719,718,50.1,3.6
2013,Paul Pierce,77,8.9,683,685,49.9,3.7
2010,Peja Stojakovic,62,8.9,550,557,49.4,3.7
2008,Rashad McCants,75,8.9,664,640,51.9,5.8
2010,Rashard Lewis,72,8.9,638,581,54.9,9.3
2018,Russell Westbrook,80,8.9,710,854,41.6,-7.9
2010,Stephen Jackson,81,8.9,723,821,44,-1.6
2001,Stephon Marbury,67,8.9,597,681,43.8,0.3
2016,Wesley Matthews,78,8.9,691,676,51.1,4
2010,Anthony Morrow,69,8.8,608,518,58.7,13
2003,Baron Davis,50,8.8,441,475,46.4,3.1
2010,Brandon Roy,65,8.8,575,629,45.7,0.1
2019,Chris Paul,58,8.8,508,493,51.5,1.9
2021,Coby White,69,8.8,605,579,52.2,0.5
1997,Dell Curry,68,8.8,597,502,59.5,16.5
2020,Fred VanVleet,54,8.8,476,434,54.8,4.4
2013,Jose Calderon,73,8.8,646,543,59.5,13.3
2008,Josh Howard,76,8.8,671,779,43.1,-3
2010,JR Smith,75,8.8,660,711,46.4,0.8
2000,Karl Malone,82,8.8,720,833,43.2,-0.4
1998,Kerry Kittles,77,8.8,674,722,46.7,3.8
2006,Kirk Hinrich,81,8.8,714,762,46.9,1.8
2013,LaMarcus Aldridge,74,8.8,652,766,42.6,-3.6
2019,LeBron James,55,8.8,483,502,48.1,-1.5
2013,O.J. Mayo,82,8.8,718,698,51.4,5.3
2018,Otto Porter Jr.,77,8.8,678,587,57.8,8.3
2003,Pat Garrity,81,8.8,711,671,53,9.6
2004,Rashard Lewis,80,8.8,705,778,45.3,2.2
2009,Richard Jefferson,82,8.8,718,775,46.3,-0.1
2012,Ryan Anderson,61,8.8,538,485,55.5,10.8
2003,Voshon Lenard,63,8.8,556,633,43.9,0.6
2013,Wesley Matthews,69,8.8,606,558,54.3,8.1
2017,Wesley Matthews,73,8.8,644,646,49.8,1.5
2008,Anthony Parker,82,8.7,716,633,56.6,10.5
2003,Antoine Walker,78,8.7,677,765,44.2,0.9
2005,Ben Gordon,82,8.7,714,722,49.4,5.1
2016,Bradley Beal,55,8.7,477,491,48.6,1.5
2022,Bradley Beal,40,8.7,347,375,46.3,-3.9
2012,Brandon Jennings,66,8.7,572,623,45.9,1.2
2019,Carmelo Anthony,10,8.7,87,94,46.3,-3.3
2011,Chauncey Billups,72,8.7,626,607,51.6,5.6
2014,Chris Paul,62,8.7,542,555,48.8,2.1
2005,Chucky Atkins,82,8.7,714,682,52.3,8
2015,CJ Miles,70,8.7,606,632,47.9,1.7
1997,Damon Stoudamire,81,8.7,702,849,41.3,-1.6
2018,DeMar DeRozan,80,8.7,695,787,44.2,-5.3
2018,Evan Fournier,57,8.7,496,459,54,4.6
2018,Gary Harris,67,8.7,586,541,54.2,4.7
2013,James Harden,78,8.7,678,698,48.6,2.4
2021,James Harden,44,8.7,381,351,54.3,2.5
2004,Jason Kidd,67,8.7,584,677,43.1,0
2022,Jerami Grant,47,8.7,407,430,47.3,-2.9
2014,Joe Johnson,79,8.7,688,645,53.3,6.6
2014,John Wall,82,8.7,710,834,42.6,-4.2
2002,Karl Malone,80,8.7,699,851,41.1,-2.7
2021,Karl-Anthony Towns,50,8.7,434,417,52,0.3
2014,Kemba Walker,73,8.7,633,729,43.4,-3.3
2017,Kentavious Caldwell-Pope,76,8.7,663,683,48.5,0.2
2022,Kentavious Caldwell-Pope,77,8.7,669,613,54.6,4.4
2022,Kevin Love,74,8.7,643,588,54.7,4.5
2017,Kristaps Porzingis,66,8.7,572,596,48,-0.3
2014,Kyle Lowry,79,8.7,689,681,50.6,3.8
2021,LaMarcus Aldridge,26,8.7,225,209,53.8,2
2012,LeBron James,62,8.7,538,593,45.4,0.7
2020,LeBron James,67,8.7,583,622,46.9,-3.6
2000,Lindsey Hunter,82,8.7,710,646,55,11.3
1999,Mookie Blaylock,48,8.7,418,496,42.1,0.1
2017,Nicolas Batum,77,8.7,673,736,45.7,-2.6
2019,Nikola Mirotic,46,8.7,398,386,51.6,2
2022,Norman Powell,45,8.7,393,334,58.8,8.6
2010,O.J. Mayo,82,8.7,716,733,48.8,3.2
2014,Randy Foye,81,8.7,701,655,53.5,6.8
2018,Rodney Hood,60,8.7,519,507,51.2,1.7
2002,Ron Mercer,53,8.7,462,576,40.1,-3.7
2014,Russell Westbrook,46,8.7,398,436,45.6,-1.1
2015,Russell Westbrook,67,8.7,586,731,40.1,-6.2
2000,Tim Hardaway,52,8.7,450,471,47.8,4.1
2009,Troy Murphy,73,8.7,637,551,57.8,11.4
2020,Tyler Herro,55,8.7,478,461,51.8,1.4
2008,Andre Iguodala,82,8.6,702,809,43.4,-2.7
2010,Brandon Jennings,82,8.6,703,772,45.5,-0.1
2015,Brandon Knight,63,8.6,539,556,48.5,2.2
2014,Dion Waiters,70,8.6,602,627,48,1.2
2006,Eddie House,81,8.6,694,678,51.2,6.1
2014,Isaiah Thomas,72,8.6,617,621,49.7,2.9
2007,Jamal Crawford,59,8.6,505,569,44.4,-1.1
2002,Jason Kidd,82,8.6,703,816,43.1,-0.7
2017,Jordan Crawford,19,8.6,163,158,51.6,3.3
1997,Karl Malone,82,8.6,704,781,45.1,2.1
2020,Kendrick Nunn,67,8.6,573,564,50.8,0.3
2002,Kevin Garnett,81,8.6,695,782,44.4,0.6
2000,Latrell Sprewell,82,8.6,702,824,42.6,-1.1
2013,LeBron James,76,8.6,657,657,50,3.8
2017,Marc Gasol,74,8.6,634,661,48,-0.3
2008,Metta World Peace,57,8.6,490,515,47.6,1.5
2003,Mike Bibby,55,8.6,471,485,48.6,5.2
2013,Nicolas Batum,73,8.6,625,630,49.6,3.4
2021,Reggie Bullock,65,8.6,559,470,59.5,7.7
2021,Russell Westbrook,65,8.6,558,666,41.9,-9.9
2020,Seth Curry,64,8.6,553,426,64.9,14.4
2009,Steve Nash,74,8.6,634,564,56.2,9.8
1999,Steven Smith,36,8.6,311,352,44.2,2.1
1997,Steven Smith,72,8.6,618,702,44,1.1
2003,Troy Hudson,79,8.6,682,706,48.3,5
2004,Voshon Lenard,73,8.6,630,694,45.4,2.3
2018,Wesley Matthews,63,8.6,539,508,53.1,3.6
2018,Andre Ingram,2,8.5,17,13,65.4,15.9
2019,Bryn Forbes,82,8.5,696,588,59.2,9.6
2009,Carmelo Anthony,66,8.5,561,647,43.4,-3.1
2020,Carmelo Anthony,58,8.5,493,515,47.9,-2.6
2007,Chauncey Billups,70,8.5,595,620,48,2.5
2012,Chris Paul,60,8.5,511,500,51.1,6.4
2002,Clifford Robinson,80,8.5,678,722,47,3.1
2002,Damon Stoudamire,75,8.5,640,668,47.9,4.1
2017,Danilo Gallinari,63,8.5,536,532,50.4,2.1
2000,David Wesley,82,8.5,693,735,47.1,3.5
2022,Devonte' Graham,76,8.5,647,668,48.4,-1.8
2007,Josh Howard,70,8.5,592,645,45.9,0.4
2012,JR Smith,35,8.5,297,303,49,4.3
2018,Kevin Love,59,8.5,503,447,56.3,6.8
2022,Kevin Porter Jr.,61,8.5,519,493,52.6,2.4
2012,Klay Thompson,66,8.5,559,544,51.4,6.7
2015,Kyle Lowry,70,8.5,598,665,45,-1.3
2000,Michael Dickerson,82,8.5,695,768,45.2,1.6
2002,Michael Dickerson,4,8.5,34,39,43.6,-0.2
2015,Monta Ellis,80,8.5,681,791,43,-3.2
2015,Nick Young,42,8.5,355,381,46.6,0.3
2008,Paul Pierce,80,8.5,677,668,50.7,4.6
2002,Rashard Lewis,71,8.5,605,592,51.1,7.3
2003,Rasheed Wallace,74,8.5,632,653,48.4,5.1
2022,Reggie Jackson,75,8.5,637,738,43.2,-7.1
2005,Richard Jefferson,33,8.5,280,338,41.4,-3
1999,Ron Mercer,41,8.5,347,437,39.7,-2.4
2004,Stephen Jackson,80,8.5,683,784,43.6,0.4
2004,Stephon Marbury,81,8.5,691,829,41.7,-1.4
2009,Steve Blake,69,8.5,588,514,57.2,10.8
2002,Steve Francis,57,8.5,486,565,43,-0.8
1999,Terrell Brandon,36,8.5,306,388,39.4,-2.6
2005,Antawn Jamison,68,8.4,573,686,41.8,-2.6
2022,Bojan Bogdanovic,69,8.4,577,527,54.7,4.5
2015,Bradley Beal,63,8.4,532,575,46.3,0
2020,Bryn Forbes,63,8.4,530,478,55.4,5
2009,Caron Butler,67,8.4,561,660,42.5,-3.9
2014,Caron Butler,56,8.4,472,474,49.8,3
1998,Dale Ellis,79,8.4,666,572,58.2,15.4
2020,Dillon Brooks,73,8.4,611,620,49.3,-1.2
2021,Dillon Brooks,67,8.4,564,567,49.7,-2.1
2011,Eric Gordon,56,8.4,470,486,48.4,2.4
2021,Gordon Hayward,44,8.4,371,342,54.2,2.5
2005,Jim Jackson,64,8.4,540,494,54.7,10.3
2017,Jimmy Butler,76,8.4,637,719,44.3,-4
2009,Josh Howard,52,8.4,439,487,45.1,-1.4
1997,LaPhonso Ellis,55,8.4,462,573,40.3,-2.6
2015,Lou Williams,80,8.4,674,696,48.4,2.1
2019,Luka Doncic,72,8.4,603,632,47.7,-1.9
2011,Michael Beasley,73,8.4,614,707,43.4,-2.5
2001,Mike Miller,82,8.4,688,655,52.5,9
2022,OG Anunoby,48,8.4,405,407,49.8,-0.5
2000,Paul Pierce,73,8.4,616,674,45.7,2
2010,Ray Allen,80,8.4,675,646,52.2,6.6
2007,Richard Hamilton,75,8.4,630,705,44.7,-0.8
2011,Richard Hamilton,55,8.4,464,510,45.5,-0.5
2008,Ricky Davis,82,8.4,687,704,48.8,2.7
2011,Rudy Gay,54,8.4,453,488,46.4,0.5
2017,Serge Ibaka,79,8.4,662,627,52.8,4.5
2005,Steve Nash,75,8.4,628,567,55.4,11
2012,Steve Novak,54,8.4,455,336,67.7,23
2021,Trae Young,63,8.4,530,532,49.8,-2
2022,Tyrese Haliburton,77,8.4,643,547,58.8,8.6
2021,Victor Oladipo,33,8.4,278,320,43.4,-8.4
1997,Allan Houston,81,8.3,674,756,44.6,1.6
2022,Andrew Wiggins,73,8.3,605,578,52.3,2.1
2008,Antawn Jamison,79,8.3,658,781,42.1,-3.9
2019,Blake Griffin,75,8.3,620,624,49.7,0.1
2006,Bobby Simmons,75,8.3,625,585,53.4,8.3
2013,Bradley Beal,56,8.3,467,501,46.6,0.4
2008,Brandon Roy,74,8.3,617,682,45.2,-0.8
2011,Carlos Delfino,49,8.3,405,389,52.1,6.1
2001,Chucky Atkins,81,8.3,675,721,46.8,3.3
2003,Cuttino Mobley,73,8.3,604,662,45.6,2.3
1999,Dell Curry,42,8.3,349,283,61.7,19.6
2019,Dion Waiters,44,8.3,363,335,54.2,4.6
2016,Eric Bledsoe,31,8.3,258,266,48.5,1.4
2015,Eric Gordon,61,8.3,509,440,57.8,11.6
2002,Gary Payton,82,8.3,680,782,43.5,-0.3
2017,George Hill,49,8.3,408,377,54.1,5.8
2015,Gordon Hayward,76,8.3,628,627,50.1,3.8
2017,Harrison Barnes,79,8.3,657,730,45,-3.3
2009,Hedo Turkoglu,77,8.3,642,670,47.9,1.5
2004,Jalen Rose,66,8.3,549,664,41.3,-1.8
2006,Jason Kidd,80,8.3,661,677,48.8,3.7
2003,Jason Williams,76,8.3,633,675,46.9,3.6
2020,Jaylen Brown,57,8.3,471,436,54,3.5
2022,Jrue Holiday,67,8.3,558,470,59.4,9.2
2008,Kevin Durant,80,8.3,665,825,40.3,-5.8
2006,Kevin Garnett,76,8.3,630,656,48,2.9
2019,Kyle Lowry,65,8.3,539,541,49.8,0.2
2019,Lauri Markkanen,52,8.3,430,433,49.7,0.1
2018,LeBron James,82,8.3,681,706,48.2,-1.2
1999,Michael Finley,50,8.3,415,501,41.4,-0.6
2000,Mike Bibby,82,8.3,679,712,47.7,4
2005,Mike Miller,76,8.3,631,529,59.6,15.3
1999,Nick Anderson,47,8.3,390,408,47.8,5.7
2021,Norman Powell,69,8.3,574,490,58.6,6.8
2019,Otto Porter Jr.,56,8.3,464,451,51.4,1.9
2005,Paul Pierce,82,8.3,684,743,46,1.6
2012,Paul Pierce,61,8.3,508,560,45.4,0.7
2019,Reggie Bullock,63,8.3,526,470,56,6.4
2012,Russell Westbrook,66,8.3,550,634,43.4,-1.3
1998,Sam Cassell,75,8.3,620,731,42.4,-0.5
2014,Trevor Ariza,77,8.3,641,571,56.1,9.4
2021,Tyler Herro,54,8.3,447,440,50.8,-1
2017,Victor Oladipo,67,8.3,553,556,49.7,1.4
2007,Wally Szczerbiak,32,8.3,264,285,46.3,0.9
1997,Allen Iverson,76,8.2,624,751,41.5,-1.4
2009,Antawn Jamison,81,8.2,668,743,45,-1.5
2013,Arron Afflalo,64,8.2,522,587,44.5,-1.7
2007,Carmelo Anthony,65,8.2,530,704,37.6,-7.8
2010,Channing Frye,81,8.2,666,574,58,12.4
2008,Chris Paul,80,8.2,654,674,48.5,2.5
2022,Dejounte Murray,68,8.2,556,611,45.5,-4.7
2004,Derek Anderson,51,8.2,416,490,42.4,-0.7
2017,Dion Waiters,46,8.2,379,373,50.8,2.5
2005,Grant Hill,67,8.2,551,612,45,0.6
2022,Jalen Green,67,8.2,551,560,49.2,-1
2013,Jameer Nelson,56,8.2,459,510,45,-1.2
2021,Joe Ingles,67,8.2,552,413,66.8,15
2021,John Wall,40,8.2,329,393,41.9,-9.9
2018,Justin Holiday,72,8.2,591,603,49,-0.4
2019,Kevin Love,22,8.2,181,189,47.9,-1.7
2013,Kevin Martin,77,8.2,628,567,55.4,9.2
2017,Khris Middleton,29,8.2,239,226,52.9,4.6
2000,Kobe Bryant,66,8.2,540,648,41.7,-2
2004,Larry Hughes,61,8.2,501,611,41,-2.1
2003,Mike Miller,65,8.2,536,575,46.6,3.3
2020,Pascal Siakam,60,8.2,489,518,47.2,-3.3
2020,Patty Mills,66,8.2,542,491,55.2,4.7
2005,Raja Bell,63,8.2,518,533,48.6,4.2
2008,Rasheed Wallace,77,8.2,630,650,48.5,2.4
2017,Seth Curry,70,8.2,575,509,56.5,8.2
