Season,Team,Opponent eFG%,Opponent TS%
2005-06,MIL,50.4,55.0
2004-05,MIL,49.9,54.3
2003-04,MIL,48.5,52.5
2002-03,MIL,49.4,53.7
2001-02,MIL,47.7,52.0
2000-01,MIL,47.3,52.3
1999-00,MIL,49.6,54.3
1998-99,MIL,46.3,51.8
1997-98,MIL,48.5,53.6
1996-97,MIL,50.1,54.4
1995-96,MIL,52.0,56.0
1994-95,MIL,53.0,56.7
1993-94,MIL,51.3,55.6
1992-93,MIL,50.2,54.9
1991-92,MIL,51.4,55.5
1990-91,MIL,50.0,54.7
1989-90,MIL,49.2,54.7
1988-89,MIL,49.3,54.4
1987-88,MIL,48.3,53.3
1986-87,MIL,47.9,53.7
1985-86,MIL,47.3,52.6
1984-85,MIL,46.7,52.3
1983-84,MIL,45.9,51.2
1982-83,MIL,45.9,50.4
1981-82,MIL,47.1,51.8
1980-81,MIL,46.1,51.6
1979-80,MIL,46.7,51.3
1978-79,MIL,49.0,53.5
1977-78,MIL,48.1,52.7
1976-77,MIL,47.9,52.1
2021-22,MIN,53.5,57.5
2020-21,MIN,55.6,59.1
2019-20,MIN,54.1,57.9
2018-19,MIN,53.8,57.1
2017-18,MIN,53.9,57.3
2016-17,MIN,53.5,57.1
2015-16,MIN,52.4,55.9
2014-15,MIN,53.7,56.9
2013-14,MIN,51.8,55.0
2012-13,MIN,51.1,54.5
2011-12,MIN,49.1,52.7
2010-11,MIN,51.4,56.0
2009-10,MIN,52.5,56.4
2008-09,MIN,51.5,56.1
2007-08,MIN,51.3,56.1
2006-07,MIN,49.8,54.1
2005-06,MIN,47.5,52.0
2004-05,MIN,47.2,51.4
2003-04,MIN,44.4,49.0
2002-03,MIN,47.2,51.2
2001-02,MIN,48.2,52.3
2000-01,MIN,47.8,52.2
1999-00,MIN,47.4,52.2
1998-99,MIN,46.7,51.8
1997-98,MIN,48.0,52.5
1996-97,MIN,48.6,53.4
1995-96,MIN,50.9,55.5
1994-95,MIN,51.0,55.6
1993-94,MIN,48.8,53.4
1992-93,MIN,50.3,55.1
1991-92,MIN,49.7,54.1
1990-91,MIN,50.2,54.7
1989-90,MIN,49.2,54.7
2011-12,NJN,51.3,54.9
2010-11,NJN,50.3,54.7
2009-10,NJN,51.7,55.6
2008-09,NJN,50.9,55.8
2007-08,NJN,49.7,54.7
2006-07,NJN,49.0,54.0
2005-06,NJN,47.6,52.6
2004-05,NJN,47.9,53.1
2003-04,NJN,46.0,50.6
2002-03,NJN,46.0,50.5
2001-02,NJN,45.9,50.3
2000-01,NJN,48.8,53.6
1999-00,NJN,49.1,53.2
1998-99,NJN,48.1,52.4
1997-98,NJN,49.9,54.5
1996-97,NJN,50.3,54.6
1995-96,NJN,49.5,53.5
1994-95,NJN,49.3,53.1
1993-94,NJN,47.5,51.6
1992-93,NJN,48.0,52.5
1991-92,NJN,48.8,53.6
1990-91,NJN,47.8,53.1
1989-90,NJN,49.5,54.5
1988-89,NJN,50.8,55.3
1987-88,NJN,50.6,55.7
1986-87,NJN,48.8,55.1
1985-86,NJN,49.9,55.0
1984-85,NJN,50.5,55.1
1983-84,NJN,49.4,54.8
1982-83,NJN,48.1,52.7
1981-82,NJN,48.6,53.8
1980-81,NJN,50.6,55.6
1979-80,NJN,47.2,52.4
1978-79,NJN,48.0,53.6
1977-78,NJN,46.5,52.0
2012-13,NOH,52.0,55.7
2011-12,NOH,48.5,52.8
2010-11,NOH,50.1,54.3
2009-10,NOH,52.3,55.8
2008-09,NOH,49.6,54.0
2007-08,NOH,50.1,53.7
2004-05,NOH,49.1,54.1
2003-04,NOH,47.6,51.8
2002-03,NOH,46.4,51.1
1978-79,NOJ,48.1,52.0
1977-78,NOJ,46.1,50.4
1976-77,NOJ,45.2,50.1
2006-07,NOK,49.9,53.9
2005-06,NOK,50.2,54.7
2021-22,NOP,54.7,58.1
2020-21,NOP,55.0,58.3
2019-20,NOP,53.2,57.0
2018-19,NOP,53.2,56.6
2017-18,NOP,51.3,54.7
2016-17,NOP,50.9,54.2
2015-16,NOP,52.3,56.4
2014-15,NOP,49.6,53.3
2013-14,NOP,51.5,55.8
2021-22,NYK,52.1,55.7
2020-21,NYK,50.9,54.5
2019-20,NYK,54.1,57.7
2018-19,NYK,53.3,56.8
2017-18,NYK,52.2,55.9
2016-17,NYK,51.1,55.1
2015-16,NYK,48.7,52.6
2014-15,NYK,51.2,55.4
2013-14,NYK,51.4,55.8
2012-13,NYK,50.8,54.8
2011-12,NYK,48.5,52.6
2010-11,NYK,51.1,55.4
2009-10,NYK,52.6,56.1
2008-09,NYK,52.0,55.8
2007-08,NYK,51.8,55.7
2006-07,NYK,50.4,54.8
2005-06,NYK,51.1,56.2
2004-05,NYK,50.1,54.9
2003-04,NYK,46.1,51.4
2002-03,NYK,48.5,53.5
2001-02,NYK,47.9,52.5
2000-01,NYK,45.3,50.1
1999-00,NYK,45.5,50.6
1998-99,NYK,43.4,48.8
1997-98,NYK,45.5,51.1
1996-97,NYK,46.3,51.6
1995-96,NYK,47.6,52.3
1994-95,NYK,46.8,52.1
1993-94,NYK,45.1,50.1
1992-93,NYK,44.4,50.4
1991-92,NYK,47.1,52.1
1990-91,NYK,48.9,53.0
1989-90,NYK,48.2,52.4
1988-89,NYK,50.4,55.0
